[17.96272029876709, -220.85676288604736]
[15.813972854614258, -192.46617650985718]
[15.753772163391114, -219.38631629943848]
[17.426874542236327, -221.51628828048706]
[29.639866256713866, -220.23210620880127]
[23.00765743255615, -233.46701955795288]
[22.23518123626709, -219.963885307312]
[39.40906753540039, -219.53890419006348]
[25.107529067993163, -222.49916887283325]
[33.098723793029784, -225.45228099822998]
[23.693110847473143, -212.46472692489624]
[10.903742218017578, -228.44085788726807]
[21.6647647857666, -215.11802768707275]
[27.46012439727783, -232.13336563110352]
[18.950965309143065, -223.07435369491577]
[33.67152442932129, -222.62463665008545]
[20.990636253356932, -229.6198377609253]
[26.70314540863037, -222.59185409545898]
[29.267337226867674, -220.80371475219727]
[17.900731468200682, -218.4111843109131]
[29.431846046447752, -240.44225311279297]
[28.510358238220213, -220.11855936050415]
[28.21233501434326, -229.9223313331604]
[16.75155391693115, -210.48317050933838]
[35.17356147766113, -225.78517293930054]
[23.998286628723143, -227.20525360107422]
[25.711920166015624, -216.41770696640015]
[10.511543655395508, -224.87292385101318]
[13.302829170227051, -215.47327136993408]
[35.798218154907225, -231.90835809707642]
[22.064115905761717, -220.02199983596802]
[30.35154571533203, -235.963858127594]
[29.621388816833495, -219.97222995758057]
[32.03597297668457, -235.12551879882812]
[19.51482524871826, -223.79765605926514]
[21.28150691986084, -231.08134365081787]
[18.101003074645995, -215.8672580718994]
[27.388002777099608, -228.07011699676514]
[22.26617565155029, -220.3015456199646]
[20.514991188049315, -232.11697435379028]
[28.925206565856932, -227.37542486190796]
[29.449131393432616, -226.75315237045288]
[15.66615333557129, -218.99888610839844]
[26.129152679443358, -225.3807554244995]
[27.02501049041748, -232.75861835479736]
[29.293563270568846, -230.17416095733643]
[17.85483589172363, -215.09388780593872]
[10.45372714996338, -216.92941284179688]
[20.78261604309082, -224.50486516952515]
[38.02683582305908, -233.12190866470337]
[24.627115631103514, -221.5389380455017]
[23.137595558166502, -220.63235139846802]
[27.18534698486328, -227.42728090286255]
[38.81302108764648, -223.0922350883484]
[20.32068004608154, -234.9139223098755]
[14.56763973236084, -215.08554315567017]
